"","userAgeBracket","date","sessions","hits","bounceRate","users","avgSessionDuration"
"197","55-64","20160315",47,126,78.7234042553192,46,20.2127659574468
"198","18-24","20160314",29,68,72.4137931034483,29,47.8620689655172
"199","25-34","20160314",61,102,86.8852459016393,58,8.63934426229508
"200","35-44","20160314",42,68,85.7142857142857,41,14.2380952380952
"201","45-54","20160314",22,48,63.6363636363636,21,41.1363636363636
"202","25-34","20160313",12,177,0,12,115.166666666667
"203","25-34","20160312",12,237,0,10,157.583333333333
"204","25-34","20160311",14,206,21.4285714285714,11,88.7857142857143
"205","18-24","20160309",13,181,7.69230769230769,13,257.923076923077
"206","25-34","20160309",19,220,5.26315789473684,18,139.105263157895
"207","18-24","20160308",11,132,9.09090909090909,10,280.181818181818
"208","25-34","20160308",24,326,4.16666666666667,22,121.5
"209","35-44","20160308",13,250,7.69230769230769,13,192.230769230769
"210","55-64","20160308",11,134,9.09090909090909,10,127.454545454545
"211","25-34","20160307",15,147,0,15,139.533333333333
"212","25-34","20160306",14,248,14.2857142857143,14,329.5
"213","25-34","20160305",12,140,16.6666666666667,10,129.333333333333
"214","18-24","20160303",13,94,7.69230769230769,13,107
"215","25-34","20160303",35,124,2.85714285714286,32,113.885714285714
"216","35-44","20160303",25,96,12,25,118.76
"217","45-54","20160303",22,103,4.54545454545455,21,38.1363636363636
"218","55-64","20160303",17,52,5.88235294117647,17,58.5882352941176
"219","18-24","20160302",40,172,22.5,39,55.25
"220","25-34","20160302",105,614,8.57142857142857,99,72.3142857142857
"221","35-44","20160302",69,255,17.3913043478261,69,39.0144927536232
"222","45-54","20160302",46,93,21.7391304347826,44,26.3695652173913
"223","55-64","20160302",41,109,9.75609756097561,40,42.0975609756098
"224","18-24","20160226",16,271,6.25,14,400.4375
"225","25-34","20160226",27,214,0,26,149.222222222222
"226","35-44","20160226",33,194,15.1515151515152,32,60.4242424242424
"227","45-54","20160226",20,161,0,19,82.75
"228","55-64","20160226",15,38,20,15,21.9333333333333
"229","18-24","20160225",21,185,0,20,231.380952380952
"230","25-34","20160225",38,325,2.63157894736842,37,121.526315789474
"231","35-44","20160225",22,166,0,22,101.363636363636
"232","45-54","20160225",23,224,4.34782608695652,22,182.434782608696
"233","18-24","20160224",14,208,0,13,289.5
"234","25-34","20160224",12,260,8.33333333333333,11,204.25
"235","35-44","20160224",13,339,7.69230769230769,13,236.846153846154
"236","25-34","20160223",16,262,12.5,15,193.375
"237","35-44","20160223",16,294,0,15,139.8125
"238","25-34","20160222",17,224,11.7647058823529,14,160.294117647059
"239","35-44","20160222",14,162,7.14285714285714,12,265
"240","25-34","20160221",11,94,9.09090909090909,11,143.636363636364
"241","18-24","20160217",26,190,15.3846153846154,22,141.769230769231
"242","25-34","20160217",15,247,0,15,119.133333333333
"243","35-44","20160217",13,116,0,12,143.307692307692
"244","18-24","20160216",22,306,9.09090909090909,19,348.181818181818
"245","25-34","20160216",20,554,0,16,256.8
"246","35-44","20160216",17,185,5.88235294117647,15,93.6470588235294
"247","45-54","20160216",17,143,11.7647058823529,15,108.470588235294
"248","18-24","20160215",26,372,11.5384615384615,21,293.153846153846
"249","25-34","20160215",23,284,8.69565217391304,22,184.826086956522
"250","35-44","20160215",18,220,5.55555555555556,17,125.277777777778
"251","45-54","20160215",13,261,7.69230769230769,12,274.461538461538
"252","18-24","20160213",17,249,11.7647058823529,15,288.529411764706
"253","25-34","20160213",27,469,3.7037037037037,23,191.62962962963
"254","35-44","20160213",21,211,4.76190476190476,20,145.666666666667
"255","45-54","20160213",15,260,6.66666666666667,15,189.133333333333
"256","18-24","20160212",31,359,12.9032258064516,22,223.709677419355
"257","25-34","20160212",48,975,6.25,41,328.0625
"258","35-44","20160212",40,361,5,38,109
"259","45-54","20160212",28,431,7.14285714285714,23,150.071428571429
"260","55-64","20160212",15,565,6.66666666666667,15,292.4
"261","18-24","20160211",31,340,9.67741935483871,30,174.774193548387
"262","25-34","20160211",91,762,5.49450549450549,83,112.934065934066
"263","35-44","20160211",82,749,8.53658536585366,77,82.0243902439024
"264","45-54","20160211",53,518,3.77358490566038,51,111.094339622642
"265","55-64","20160211",39,148,7.69230769230769,37,95
"266","65+","20160211",11,43,18.1818181818182,11,25.6363636363636
"267","18-24","20160210",14,201,14.2857142857143,13,271.571428571429
"268","25-34","20160210",20,394,0,20,473.95
"269","35-44","20160210",22,289,0,21,147.272727272727
